collective_deg,CT_exp,CQ_exp,CQ_dash_exp,Tc_exp,Qc_exp
0,0,0.000108,0,0,1.41
1,0.000280,0.000111,0.000003,0.156,1.45
2,0.000873,0.000125,0.000017,0.485,1.64
4,0.00248,0.000191,0.000083,1.38,2.50
6,0.00442,0.000316,0.000208,2.46,4.14
8,0.00650,0.000494,0.000386,3.61,6.47
10,0.00847,0.000691,0.000583,4.70,9.06
12,0.00990,0.000878,0.000770,5.50,11.50
