collective_deg,CT_exp,CQ_exp,CQ_dash_exp,Tc_exp,Qc_exp
0,0,0.000185,0,0,0.71
2,0.00102,0.000206,0.000021,0.252,0.80
4,0.00298,0.000300,0.000115,0.736,1.16
6,0.00548,0.000474,0.000289,1.35,1.84
8,0.00833,0.000735,0.000550,2.06,2.85
10,0.01125,0.001048,0.000863,2.78,4.06
12,0.01370,0.001357,0.001172,3.38,5.26
